,ტექსტი,ა,ბ,გ,დ,პასუხი,საკითხები
300,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 17 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,-5.5,8.5,2.5,-4.0,ბ,GEO2D-22.1
301,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 16 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,8.0,19.5,14.5,17.5,ა,GEO2D-22.1
302,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 28 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,8.5,6.0,14.0,2.5,გ,GEO2D-22.1
303,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 20 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,18.5,24.5,10.0,21.5,გ,GEO2D-22.1
304,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 13 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,6.5,18.5,20.5,0.0,ა,GEO2D-22.1
305,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 22 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,4.0,11.0,20.5,3.0,ბ,GEO2D-22.1
306,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 14 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,-6.0,7.0,14.0,-0.5,ბ,GEO2D-22.1
307,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 9 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,11.5,4.5,-4.5,-7.5,ბ,GEO2D-22.1
308,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 21 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,4.5,10.5,0.5,-4.0,ბ,GEO2D-22.1
309,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 30 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,20.5,25.0,3.5,15.0,დ,GEO2D-22.1
310,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 30 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,4.5,29.0,15.0,10.0,გ,GEO2D-22.1
311,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 7 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,-1.5,3.5,14.5,16.5,ბ,GEO2D-22.1
312,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 22 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,-3.0,11.0,18.0,-2.5,ბ,GEO2D-22.1
313,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 14 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,7.0,12.0,13.0,14.5,ა,GEO2D-22.1
314,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 28 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,22.0,26.5,2.5,14.0,დ,GEO2D-22.1
315,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 25 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,4.0,19.5,12.5,24.5,გ,GEO2D-22.1
316,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 30 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,15.0,4.0,23.0,27.0,ა,GEO2D-22.1
317,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 17 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,8.5,-6.0,20.5,22.5,ა,GEO2D-22.1
318,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 29 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,26.5,0.0,14.5,6.5,გ,GEO2D-22.1
319,მოცემულია მართკუთხა სამკუთხედი ჰიპოტენუზით 13 სმ. რას უდრის მანძილი ჰიპოტენუზის შუაწერტილიდან მის მოპირდაპირე წვერომდე?,17.0,15.5,6.5,18.5,გ,GEO2D-22.1
